2023-05-05 19:12:01:121,ID-71a986a9-51fa,EU1,Connectivity,|,N/A,Outage Detected
2023-05-05 19:12:01:121,ID-71a986a9-51fa,EU1,Connectivity,| Connectivity Services - Java |,N/A,Outage Detected
2023-05-05 19:15:02:152,ID-71a986a9-51fa,EU1,Connectivity,,N/A,Recovered
2023-05-05 23:48:59:4859,DEGRADATION-ID-3f8b072d-fded,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-06 06:08:03:83,ID-b79bfd80-9b13,EU1,Connectivity,|,N/A,Outage Detected
2023-05-06 06:11:25:1125,ID-b79bfd80-9b13,EU1,Connectivity,,N/A,Recovered
2023-05-07 00:13:03:133,DEGRADATION-ID-87218519-8be4,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:16:05:165,DEGRADATION-ID-844edca1-068e,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:18:59:1859,DEGRADATION-ID-758aa57c-3c99,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:21:58:2158,DEGRADATION-ID-3ba04e08-84e9,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:24:57:2457,DEGRADATION-ID-088db0b2-e2b0,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:28:05:285,DEGRADATION-ID-e79d5459-b263,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:30:58:3058,DEGRADATION-ID-212b119d-d120,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:33:58:3358,DEGRADATION-ID-e717c855-718e,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:36:57:3657,DEGRADATION-ID-dbfd72a0-366d,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:39:59:3959,DEGRADATION-ID-e5e5cdab-a645,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:42:53:4253,DEGRADATION-ID-1c557712-bb55,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:45:58:4558,DEGRADATION-ID-a2c48743-6a74,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:49:01:491,DEGRADATION-ID-b171d139-2959,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:51:57:5157,DEGRADATION-ID-e8055cf0-b7e5,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:54:57:5457,DEGRADATION-ID-c0f1a249-2df7,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 00:57:57:5757,DEGRADATION-ID-00a94c62-e111,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:01:00:10,DEGRADATION-ID-214412d4-94fe,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:03:58:358,DEGRADATION-ID-2ef7e3bc-347f,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:07:07:77,DEGRADATION-ID-923d7bd8-2295,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:09:56:956,DEGRADATION-ID-adad09c9-ec51,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:12:59:1259,DEGRADATION-ID-f97d46f1-c25b,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:16:07:167,DEGRADATION-ID-0ee607ee-cb71,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:19:00:190,DEGRADATION-ID-e4a8f101-c985,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:22:00:220,DEGRADATION-ID-70371a2b-df7f,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:24:59:2459,DEGRADATION-ID-3abf5ad7-0b4f,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:28:01:281,DEGRADATION-ID-607932bd-60ed,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:31:00:310,DEGRADATION-ID-85c3bc17-6ab1,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:34:01:341,DEGRADATION-ID-7f355747-713d,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:37:06:376,DEGRADATION-ID-f7fb8572-153c,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:39:59:3959,DEGRADATION-ID-dade8686-a29a,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:42:56:4256,DEGRADATION-ID-34bd57e3-3e95,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:46:01:461,DEGRADATION-ID-ddb945f7-87d8,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:49:02:492,DEGRADATION-ID-013cdc9a-598a,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:51:59:5159,DEGRADATION-ID-433c55b1-68f2,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:55:00:550,DEGRADATION-ID-aeb362c9-be48,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 01:58:00:580,DEGRADATION-ID-456dad76-00a5,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 02:01:12:112,DEGRADATION-ID-32b35c67-b41b,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 02:04:00:40,DEGRADATION-ID-c661b5e9-e9ee,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 02:07:09:79,DEGRADATION-ID-4236b007-e13b,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 02:10:05:105,DEGRADATION-ID-d37b0369-d4dc,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 02:13:02:132,DEGRADATION-ID-2cfbe767-f136,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 02:15:58:1558,DEGRADATION-ID-1625c1c9-ddd5,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 02:19:04:194,DEGRADATION-ID-e851e75f-e65a,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
2023-05-07 02:21:59:2159,DEGRADATION-ID-66247e36-f6a0,EU1,Connectivity 2.0 Notification Agent and Certificate Signing service_1,CPU Load,N/A,Slack_Alert
